cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
27093740,0001,1,WORKOUT ASSESSORIA ESPORTIVA,08,20190222,20170213,SP,7107
27096802,0001,1,ESPACO 2E,08,20221013,20170213,RN,1779
27099034,0001,1,,04,20210219,20170213,PA,0427
27099663,0001,1,DECO MARTINS - PERSONAL TRAINER,08,20210324,20170214,SP,7107
27102399,0001,1,,08,20240328,20170214,PB,2135
27104376,0001,1,BODY WINNER,08,20170821,20170214,RS,8771
27105068,0001,1,ESPACO VITALIDADE,02,20170214,20170214,MG,4733
27107301,0001,1,,08,20180301,20170214,MT,9067
27111064,0001,1,ANDRE POMPILIO PROFESSOR E COREOGRAFO,02,20251219,20170215,SP,6929
27024263,0001,1,ESPACO REABILITTAR PILATES & FISIOTERAPIA,08,20241108,20170203,GO,9373
27113181,0001,1,ACAEMIA VIGOR NSV,08,20180516,20170215,BA,3573
27117565,0001,1,,08,20180322,20170215,GO,9563
27123135,0001,1,ACADEMIA EQUILIBRIO E MOVIMENTO,02,20170216,20170216,DF,9701
27123807,0001,1,GUSSOUZA FISIOLOGIA DO EXERCICIO E TREINAMENTO FISICO,08,20220308,20170216,SP,7075
27125036,0001,1,COMPLEXO EXTREMA FORCA,08,20210927,20170216,RS,8853
27001628,0001,1,,08,20170802,20170201,DF,9701
27129377,0001,1,ESTACAO SAUDE,08,20171122,20170216,SC,8063
27129438,0001,1,,02,20170216,20170216,SP,7145
27129809,0001,1,ACADEMIA ESTACAO MOVIMENT,08,20200311,20170216,BA,3849
27130407,0001,1,ACADEMIA PRO CORPO PERFEITO,08,20190114,20170216,MG,0726
27130997,0001,1,,08,20180323,20170216,PR,7535
07181488,0002,2,RIO SPORT FITNESS,04,20210311,20170131,RJ,6001
27135566,0001,1,ACADEMIA EXERCITY,02,20170217,20170217,PI,0344
27137650,0001,1,BODY HEALTH WELLNESS CENTER,02,20170217,20170217,MG,5413
27137817,0001,1,FISIOGYM,04,20210318,20170217,SC,8061
27140371,0001,1,GYM FITNESS IAGO REIS,02,20211011,20170217,MG,4601
27140924,0001,1,WORKOUT,08,20180509,20170217,ES,5703
27141784,0001,1,MALEX HEALTH,08,20170224,20170217,RJ,6001
27141957,0001,1,INOVE LIFE - STUDIO DE PILATES,08,20180227,20170217,MT,9151
27144236,0001,1,SAULO BATISTA,02,20170219,20170219,SP,7107
27144517,0001,1,WR FITNESS,08,20180827,20170219,RS,8541
24052160,0002,2,MAXIMUS FITNESS,08,20220608,20170220,MG,4267
27147505,0001,1,,08,20210306,20170220,MG,4565
27149677,0001,1,SC GESTAO E CONSULTORIA EM SAUDE,04,20240815,20170220,RJ,6001
27150569,0001,1,STUDIO PERSONAL ADRIANO AGUILAR,02,20170220,20170220,SP,7145
27152197,0001,1,,08,20190530,20170220,SP,6887
27153631,0001,1,MARINEIDE FRUTAS,08,20170223,20170220,SP,7107
27157134,0001,1,YOUFIT ACADEMIA,02,20170221,20170221,GO,9517
27161374,0001,1,,08,20180125,20170221,RS,8651
27163338,0001,1,TOPGYM ACADEMIA,08,20171031,20170221,CE,1303
27163352,0001,1,ESPACO RELIGARE,08,20210308,20170221,SC,8039
27165314,0001,1,TRICERAPTUS,04,20220209,20170221,RJ,6001
27167632,0001,1,CENTER SPORT CLUB,08,20250808,20170222,MG,4625
27167807,0001,1,,02,20170221,20170221,RS,8599
27172572,0001,1,CROSSFIT MARAMBAIA,08,20200502,20170222,PA,0427
27173311,0001,1,FUNCIONAL FIT,02,20170222,20170222,SC,8173
27173341,0001,1,SANTIAGO PERSONAL,08,20181220,20170222,RJ,6001
27173502,0001,1,YES FITNESS ACADEMIA,04,20190531,20170221,RS,8915
27175974,0001,1,MAIS SAUDE ASSESSORIA ESPORTIVA E QUALIDADE DE VIDA,02,20170222,20170222,RN,1779
27179136,0001,1,,08,20190409,20170223,CE,1559
27179343,0001,1,,08,20170320,20170223,MG,4939
27180253,0001,1,PERSONAL - CLAUDINO JUNIOR,08,20200917,20170223,GO,9301
27185458,0001,1,CENTRO DE TREINAMENTO MORATO,02,20170223,20170223,SP,6393
27186079,0001,1,MODINHAS DA BARBARA,08,20220131,20170223,RJ,6001
27186660,0001,1,,04,20220208,20170223,RJ,6001
27188867,0001,1,,08,20210511,20170224,RJ,0786
